Reviews,Ratings,Processed_Date
"Nov, 2020",5.0,2020-11-01
"Nov, 2020",5.0,2020-11-01
"Nov, 2020",5.0,2020-11-01
"Nov, 2020",5.0,2020-11-01
"Nov, 2020",5.0,2020-11-01
"Nov, 2020",5.0,2020-11-01
"Nov, 2020",5.0,2020-11-01
"Nov, 2020",5.0,2020-11-01
"Nov, 2020",5.0,2020-11-01
"Nov, 2020",4.0,2020-11-01
"Nov, 2020",5.0,2020-11-01
"Nov, 2020",5.0,2020-11-01
"Nov, 2020",5.0,2020-11-01
"Dec, 2020",4.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",3.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Dec, 2020",1.0,2020-12-01
"Dec, 2020",5.0,2020-12-01
"Jan, 2021",5.0,2021-01-01
"Jan, 2021",5.0,2021-01-01
"Jan, 2021",5.0,2021-01-01
"Jan, 2021",5.0,2021-01-01
"Jan, 2021",5.0,2021-01-01
"Jan, 2021",5.0,2021-01-01
"Jan, 2021",5.0,2021-01-01
"Feb, 2021",5.0,2021-02-01
"Feb, 2021",5.0,2021-02-01
"Feb, 2021",5.0,2021-02-01
"Feb, 2021",5.0,2021-02-01
"Feb, 2021",4.0,2021-02-01
"Feb, 2021",5.0,2021-02-01
"Feb, 2021",4.0,2021-02-01
"Feb, 2021",5.0,2021-02-01
"Feb, 2021",5.0,2021-02-01
"Feb, 2021",5.0,2021-02-01
"Feb, 2021",5.0,2021-02-01
"Feb, 2021",5.0,2021-02-01
"Feb, 2021",5.0,2021-02-01
"Feb, 2021",5.0,2021-02-01
"Mar, 2021",5.0,2021-03-01
"Mar, 2021",5.0,2021-03-01
"Mar, 2021",5.0,2021-03-01
"Mar, 2021",5.0,2021-03-01
"Mar, 2021",5.0,2021-03-01
"Mar, 2021",5.0,2021-03-01
"Mar, 2021",5.0,2021-03-01
"Mar, 2021",5.0,2021-03-01
"Mar, 2021",5.0,2021-03-01
"Mar, 2021",5.0,2021-03-01
"Mar, 2021",5.0,2021-03-01
"Mar, 2021",5.0,2021-03-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",4.0,2021-04-01
"Apr, 2021",4.0,2021-04-01
"Apr, 2021",2.0,2021-04-01
"Apr, 2021",4.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",4.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",5.0,2021-04-01
"Apr, 2021",3.0,2021-04-01
"May, 2021",5.0,2021-05-01
"May, 2021",5.0,2021-05-01
"May, 2021",5.0,2021-05-01
"May, 2021",5.0,2021-05-01
"May, 2021",5.0,2021-05-01
"May, 2021",5.0,2021-05-01
"May, 2021",4.0,2021-05-01
"May, 2021",5.0,2021-05-01
"May, 2021",5.0,2021-05-01
"May, 2021",5.0,2021-05-01
"May, 2021",5.0,2021-05-01
"May, 2021",4.0,2021-05-01
"May, 2021",5.0,2021-05-01
"Jun, 2021",3.0,2021-06-01
"Jun, 2021",4.0,2021-06-01
"Jun, 2021",5.0,2021-06-01
"Jun, 2021",5.0,2021-06-01
"Jun, 2021",5.0,2021-06-01
"Jun, 2021",5.0,2021-06-01
"Jun, 2021",5.0,2021-06-01
"Jun, 2021",1.0,2021-06-01
"Jun, 2021",5.0,2021-06-01
"Jun, 2021",5.0,2021-06-01
"Jun, 2021",3.0,2021-06-01
"Jun, 2021",5.0,2021-06-01
"Jun, 2021",4.0,2021-06-01
"Jun, 2021",5.0,2021-06-01
"Jun, 2021",3.0,2021-06-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",4.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",4.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",4.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",5.0,2021-07-01
"Jul, 2021",3.0,2021-07-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",4.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",1.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",4.0,2021-08-01
"Aug, 2021",4.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",3.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",1.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",4.0,2021-08-01
"Aug, 2021",4.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",1.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",3.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",4.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",3.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",5.0,2021-08-01
"Aug, 2021",4.0,2021-08-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",3.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",4.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",4.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",1.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",4.0,2021-09-01
"Sep, 2021",4.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",1.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",4.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",2.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",4.0,2021-09-01
"Sep, 2021",1.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",4.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",2.0,2021-09-01
"Sep, 2021",4.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",1.0,2021-09-01
"Sep, 2021",1.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",4.0,2021-09-01
"Sep, 2021",3.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",3.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",1.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",3.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",3.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
