Date,Ratings
"Nov, 2021",5
"Sep, 2021",5
"Mar, 2021",5
"Feb, 2021",5
"Oct, 2021",5
"Oct, 2021",5
"Oct, 2021",5
"Oct, 2021",5
"Oct, 2021",5
"Feb, 2022",5
"Sep, 2021",5
"Mar, 2022",5
"Oct, 2021",5
"Oct, 2021",4
"Oct, 2021",4
"Jul, 2021",5
"Nov, 2021",5
"Oct, 2021",5
"Mar, 2022",5
"Apr, 2022",5
"Dec, 2021",5
"Oct, 2021",5
"Jan, 2022",5
"Oct, 2021",5
"Oct, 2021",5
"Nov, 2021",5
"Oct, 2021",5
"Aug, 2021",5
"Nov, 2020",5
"Apr, 2021",5
"Oct, 2021",5
"Sep, 2021",5
"Sep, 2021",5
"Apr, 2022",5
"Oct, 2021",5
"Apr, 2021",5
"May, 2021",5
"Oct, 2021",5
"Sep, 2021",5
"Jun, 2022",5
"Oct, 2021",5
"Oct, 2021",5
"Dec, 2020",5
"Oct, 2021",5
"Oct, 2021",5
"Nov, 2020",5
"Jan, 2022",5
"Oct, 2021",5
"Nov, 2021",5
"Mar, 2022",5
"Nov, 2021",5
"May, 2022",5
"Apr, 2021",5
"Nov, 2020",5
"Aug, 2021",5
"Aug, 2021",5
"Aug, 2021",3
"Aug, 2021",5
"Dec, 2020",5
"Mar, 2021",5
"Apr, 2021",5
"Oct, 2021",5
"Oct, 2021",5
"Dec, 2021",5
"Nov, 2021",5
"Aug, 2021",5
"Nov, 2021",5
"Mar, 2021",5
"Oct, 2021",5
"Oct, 2021",5
"Sep, 2021",5
"Feb, 2021",4
"Aug, 2021",5
"Oct, 2021",5
"Jun, 2021",5
"Oct, 2021",5
"Jun, 2022",5
"Oct, 2021",5
"Aug, 2022",5
"Jun, 2022",5
"Nov, 2021",5
"Oct, 2021",4
"Dec, 2020",5
"Nov, 2021",5
"Aug, 2021",5
"Oct, 2021",5
"Nov, 2020",5
"Feb, 2022",5
"Jul, 2021",5
"Oct, 2021",5
"Nov, 2021",5
"Oct, 2021",5
"Dec, 2021",5
