Reviews,Ratings,Processed_Date
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",2.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",4.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Sep, 2021",5.0,2021-09-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",1.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",1.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Oct, 2021",4.0,2021-10-01
"Oct, 2021",5.0,2021-10-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",4.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",4.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",4.0,2021-11-01
"Nov, 2021",2.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",4.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",2.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Nov, 2021",5.0,2021-11-01
"Dec, 2021",5.0,2021-12-01
"Dec, 2021",5.0,2021-12-01
"Dec, 2021",5.0,2021-12-01
"Dec, 2021",5.0,2021-12-01
"Dec, 2021",5.0,2021-12-01
