Date,Ratings,Processed_Date
"Nov, 2020",5,2020-11-01
"Nov, 2020",5,2020-11-01
"Nov, 2020",5,2020-11-01
"Nov, 2020",5,2020-11-01
"Nov, 2020",5,2020-11-01
"Nov, 2020",5,2020-11-01
"Nov, 2020",5,2020-11-01
"Nov, 2020",4,2020-11-01
"Nov, 2020",5,2020-11-01
"Dec, 2020",5,2020-12-01
"Dec, 2020",5,2020-12-01
"Dec, 2020",5,2020-12-01
"Dec, 2020",5,2020-12-01
"Dec, 2020",5,2020-12-01
"Dec, 2020",5,2020-12-01
"Dec, 2020",5,2020-12-01
"Dec, 2020",1,2020-12-01
"Dec, 2020",5,2020-12-01
"Jan, 2021",5,2021-01-01
"Feb, 2021",4,2021-02-01
"Feb, 2021",5,2021-02-01
"Feb, 2021",5,2021-02-01
"Feb, 2021",5,2021-02-01
"Feb, 2021",5,2021-02-01
"Feb, 2021",4,2021-02-01
"Feb, 2021",5,2021-02-01
"Feb, 2021",5,2021-02-01
"Mar, 2021",5,2021-03-01
"Mar, 2021",5,2021-03-01
"Mar, 2021",5,2021-03-01
"Mar, 2021",5,2021-03-01
"Mar, 2021",5,2021-03-01
"Mar, 2021",5,2021-03-01
"Mar, 2021",5,2021-03-01
"Mar, 2021",5,2021-03-01
"Apr, 2021",4,2021-04-01
"Apr, 2021",5,2021-04-01
"Apr, 2021",5,2021-04-01
"Apr, 2021",3,2021-04-01
"Apr, 2021",4,2021-04-01
"Apr, 2021",5,2021-04-01
"Apr, 2021",5,2021-04-01
"Apr, 2021",5,2021-04-01
"Apr, 2021",5,2021-04-01
"Apr, 2021",5,2021-04-01
"Apr, 2021",5,2021-04-01
"Apr, 2021",5,2021-04-01
"Apr, 2021",5,2021-04-01
"Apr, 2021",5,2021-04-01
"Apr, 2021",4,2021-04-01
"Apr, 2021",5,2021-04-01
"May, 2021",5,2021-05-01
"May, 2021",5,2021-05-01
"May, 2021",5,2021-05-01
"May, 2021",5,2021-05-01
"May, 2021",5,2021-05-01
"May, 2021",5,2021-05-01
"May, 2021",4,2021-05-01
"May, 2021",5,2021-05-01
"May, 2021",5,2021-05-01
"Jun, 2021",5,2021-06-01
"Jun, 2021",4,2021-06-01
"Jun, 2021",5,2021-06-01
"Jun, 2021",3,2021-06-01
"Jun, 2021",5,2021-06-01
"Jun, 2021",3,2021-06-01
"Jun, 2021",1,2021-06-01
"Jun, 2021",5,2021-06-01
"Jun, 2021",5,2021-06-01
"Jun, 2021",3,2021-06-01
"Jun, 2021",5,2021-06-01
"Jul, 2021",4,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",4,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",5,2021-07-01
"Jul, 2021",4,2021-07-01
"Jul, 2021",5,2021-07-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",4,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",1,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",4,2021-08-01
"Aug, 2021",4,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",3,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
